City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lüderitz,0,NA,1600183230,60,-26.65,15.16,60.8,25.55
San Andrés,75,CO,1600183230,83,12.58,-81.7,84.2,9.17
Água Branca,66,BR,1600183230,26,-5.89,-42.64,95.77,9.33
Yangambi,29,CD,1600183231,71,0.81,24.43,80.28,2.91
La Tuque,27,CA,1600183231,51,47.43,-72.78,51.73,4.29
Kavaratti,26,IN,1600183231,80,10.57,72.64,81.79,17.67
Camacupa,48,AO,1600183231,21,-12.02,17.48,86.27,1.48
Erciş,20,TR,1600183232,27,39.03,43.36,75.2,2.68
Houma,75,US,1600183115,74,29.6,-90.72,82.99,17.22
Biysk,100,RU,1600183232,62,52.54,85.21,57.69,6.44
Waynesboro,1,US,1600183066,71,38.07,-78.89,57.99,8.05
Pedra Azul,28,BR,1600183232,40,-16.01,-41.3,83.7,8.55
Port Hawkesbury,75,CA,1600183232,54,45.62,-61.35,63.0,8.05
Souillac,75,MU,1600183233,72,-20.52,57.52,66.2,11.41
Hyères,1,FR,1600183233,48,43.12,6.12,86.0,5.82
Impfondo,16,CG,1600183233,53,1.64,18.07,87.17,3.53
Bendigo,61,AU,1600183233,44,-36.77,144.28,42.01,2.08
Havelock,1,US,1600183234,64,34.88,-76.9,75.99,16.11
Coroneo,75,MX,1600183234,77,20.13,-100.33,69.01,4.7
Aitape,97,PG,1600183234,83,-3.14,142.35,78.08,5.32
Poum,100,NC,1600183234,77,-20.23,164.02,71.91,19.53
Chapleau,90,CA,1600183235,93,47.84,-83.4,46.4,4.7
Dhārchula,44,IN,1600183235,74,29.85,80.53,67.39,1.72
Aliwal North,0,ZA,1600183235,16,-30.69,26.71,69.87,15.1
Dudinka,98,RU,1600183236,81,69.41,86.18,53.6,11.18
Alta Floresta,20,BR,1600183236,23,-9.88,-56.09,95.0,11.41
Acaraú,47,BR,1600183219,45,-2.89,-40.12,88.34,19.57
Krasnosel'kup,25,RU,1600183236,78,65.7,82.47,52.45,10.96
Sola,100,VU,1600183236,78,-13.88,167.55,78.94,27.98
Manyana,37,BW,1600183237,12,-23.4,21.72,88.14,12.75
Turka,15,UA,1600183237,59,49.15,23.03,75.99,3.89
Bambanglipuro,81,ID,1600183237,87,-7.95,110.28,74.07,3.11
Marsá Maţrūḩ,40,EG,1600183237,65,31.35,27.25,82.4,10.29
Geraldton,75,AU,1600183238,88,-28.77,114.6,62.6,8.05
Tubmanburg,97,LR,1600183238,94,6.87,-10.82,75.04,5.19
Dingle,100,PH,1600183238,92,11.0,122.67,75.81,3.11
Comodoro Rivadavia,40,AR,1600183238,28,-45.87,-67.5,55.4,19.46
São João da Barra,40,BR,1600183239,58,-21.64,-41.05,82.4,18.34
Tearce,11,MK,1600183239,30,42.07,21.05,86.0,4.7
Kaeo,23,NZ,1600183239,3,-35.1,173.78,50.0,4.0
Ingham,1,US,1600183239,72,42.6,-84.38,62.01,3.36
Santa Cruz de la Sierra,75,BO,1600183218,45,-17.8,-63.17,69.8,13.87
Ilām,83,NP,1600183240,91,26.92,87.92,66.24,2.46
Frumuşiţa,0,RO,1600183240,30,45.67,28.07,84.69,7.83
Novikovo,78,RU,1600183241,67,51.15,37.89,66.74,9.71
Hambantota,75,LK,1600183241,88,6.12,81.12,82.4,9.17
Nova Prata,99,BR,1600183241,55,-28.78,-51.61,66.99,5.99
The Valley,75,AI,1600183242,70,18.22,-63.06,88.0,12.75
Mirador,93,BR,1600183242,24,-6.37,-44.36,95.99,10.36
Ledyard Center,1,US,1600183242,55,41.44,-72.01,62.6,8.05
Komatipoort,9,ZA,1600183242,50,-25.43,31.95,77.0,5.82
Muli,100,MV,1600183243,77,2.92,73.57,83.21,9.6
Iwo,93,NG,1600183243,81,7.63,4.18,80.31,3.09
Nyaunglebin,100,MM,1600183243,93,17.95,96.73,77.29,4.36
Kayerkan,100,RU,1600183243,81,69.35,87.76,53.6,11.18
Charter Township of Clinton,20,US,1600183243,72,42.59,-82.92,64.99,5.82
Goldsboro,1,US,1600183244,64,35.38,-77.99,73.0,8.05
Provideniya,96,RU,1600183244,92,64.38,-173.3,45.14,13.33
Mashivka,0,UA,1600183244,51,49.44,34.87,73.74,9.46
Bousso,92,TD,1600183244,80,10.48,16.71,78.48,5.06
Tekeli,40,KZ,1600183245,44,44.83,78.82,55.26,10.33
Arman',48,RU,1600183245,74,59.7,150.17,46.83,7.14
Tiksi,1,RU,1600183245,92,71.69,128.87,38.19,1.92
Mount Gambier,40,AU,1600183245,100,-37.83,140.77,41.0,5.82
Savonlinna,75,FI,1600183246,58,61.87,28.88,57.2,10.29
Salinas,90,US,1600183095,93,36.68,-121.66,53.6,3.36
Maniitsoq,100,GL,1600183246,86,65.42,-52.9,42.66,18.9
Saint-Augustin,25,CA,1600183246,43,51.23,-58.65,53.01,22.59
Muzhi,69,RU,1600183246,92,65.37,64.67,47.43,3.62
Betsiamites,1,CA,1600183247,66,48.94,-68.65,51.8,17.22
Narrabri,25,AU,1600183247,67,-30.32,149.78,60.01,9.17
Chara,100,RU,1600183247,83,56.91,118.26,46.83,7.0
Nizwá,87,OM,1600183247,14,22.93,57.53,93.4,5.86
Hobyo,4,SO,1600183248,79,5.35,48.53,78.75,27.34
Rājāpur,29,IN,1600183248,61,25.38,81.15,89.08,4.7
Ouésso,53,CG,1600183248,56,1.61,16.05,87.67,2.39
Paita,42,PE,1600183248,72,-5.09,-81.11,68.0,16.11
Murray Bridge,100,AU,1600183248,66,-35.12,139.27,57.0,1.01
Mandalgovi,0,MN,1600183249,71,45.76,106.27,39.88,13.2
Kurchum,95,KZ,1600183249,47,48.57,83.65,62.87,6.26
Nankana Sahib,40,PK,1600183249,70,31.45,73.7,89.6,3.36
Antsohihy,0,MG,1600183250,60,-14.88,47.99,76.8,5.03
Luanda,20,AO,1600183037,65,-8.84,13.23,78.8,11.41
Chauk,100,MM,1600183250,84,20.88,94.82,81.63,5.28
Hualmay,56,PE,1600183250,67,-11.1,-77.61,66.69,8.25
Margate,38,GB,1600183250,57,51.38,1.39,84.99,1.01
Bubaque,9,GW,1600183251,81,11.28,-15.83,81.46,13.51
Petropavlovsk-Kamchatskiy,4,RU,1600183251,75,53.05,158.65,46.4,4.47
San Cristobal,20,VE,1600183223,48,7.77,-72.22,86.0,4.7
Lesnyye Polyany,40,RU,1600183251,48,55.97,37.87,61.0,11.18
Oktyabr'skoye,84,RU,1600183252,46,43.06,44.74,73.4,4.47
Kalmunai,83,LK,1600183252,72,7.42,81.82,84.7,2.89
Kenai,90,US,1600183252,87,60.55,-151.26,46.0,5.82
Pyaozerskiy,25,RU,1600183252,68,65.83,31.17,51.55,5.88
Vanavara,19,RU,1600183252,81,60.34,102.28,45.97,1.61
Kota Kinabalu,40,MY,1600183138,94,5.97,116.07,75.2,3.36
Chimbote,94,PE,1600183253,73,-9.09,-78.58,64.89,6.42
Zhanakorgan,97,KZ,1600183253,18,43.91,67.25,76.62,10.94
Hua Hin,89,TH,1600183218,78,12.57,99.96,80.6,8.77
Sutysky,0,UA,1600183253,41,49.04,28.42,78.8,6.71
Byron Bay,40,AU,1600183254,93,-28.65,153.62,57.0,3.24
Brownsville,40,US,1600183202,83,25.9,-97.5,81.0,6.93
Ketchikan,1,US,1600183254,81,55.34,-131.65,53.6,5.82
Oil City,1,US,1600183254,76,41.43,-79.71,55.99,8.05
Nemuro,100,JP,1600183254,79,43.32,145.57,64.42,12.88
Sørland,75,NO,1600183255,87,67.67,12.69,46.4,13.87
Rosetta,0,EG,1600183255,62,31.4,30.42,84.2,11.41
Thanh Hoa,96,VN,1600183255,86,19.8,105.77,81.18,3.94
Atar,1,MR,1600183255,11,20.52,-13.05,109.38,1.81
Matagami,20,CA,1600183256,76,49.75,-77.63,48.2,9.17
Diamantina,0,BR,1600183256,31,-18.25,-43.6,77.68,15.66
La Santisima Trinidad,5,BO,1600183256,50,-14.83,-64.9,78.8,10.29
Chokurdakh,97,RU,1600183256,90,70.63,147.92,40.08,7.96
Mbengwi,97,CM,1600183257,88,6.02,10.0,70.2,3.6
Yamada,100,JP,1600183257,84,39.47,141.95,66.18,3.53
Aberdeen,75,GB,1600183257,77,57.14,-2.1,66.0,6.93
Muyezerskiy,11,RU,1600183257,69,63.93,31.65,51.12,5.26
Crotone,100,IT,1600183258,45,39.09,17.12,82.4,5.82
Terney,90,RU,1600183258,90,45.05,136.61,60.67,7.4
Samoylovka,77,RU,1600183258,47,51.18,43.71,62.69,11.54
Ipixuna,75,BR,1600183258,70,-1.76,-48.8,86.0,8.05
Aklavik,75,CA,1600183259,90,68.22,-135.01,33.8,6.93
Tomatlán,20,MX,1600183259,74,19.93,-105.25,82.74,1.43
Menzelinsk,40,RU,1600183259,87,55.73,53.1,48.2,8.95
Mujiayingzi,17,CN,1600183259,86,42.12,118.78,50.99,6.33
Nur-Sultan,40,KZ,1600183230,93,51.18,71.45,51.8,6.71
Kilimatinde,23,TZ,1600183260,24,-5.85,34.95,88.41,8.52
Huaicheng,100,CN,1600183260,87,23.91,112.19,78.57,1.32
Tuatapere,65,NZ,1600183260,88,-46.13,167.68,39.99,13.0
Santiago,0,CL,1600183083,62,-33.46,-70.65,64.0,5.82
Tromsø,75,NO,1600183261,76,69.65,18.96,50.0,3.36
Toora-Khem,77,RU,1600183261,78,52.47,96.11,43.59,1.54
Atherton,99,GB,1600183261,43,53.52,-2.49,81.0,7.0
Hasaki,75,JP,1600183262,100,35.73,140.83,70.0,5.82
Bulungu,99,CD,1600183262,41,-4.55,18.6,91.99,1.88
Maumere,38,ID,1600183262,74,-8.62,122.21,76.15,4.85
Oruzgan,0,AF,1600183262,28,32.83,66.0,60.22,4.09
Skjervøy,75,NO,1600183262,81,70.03,20.97,51.8,3.36
Kaduqli,18,SD,1600183263,63,11.02,29.72,87.31,1.41
Miguel Hidalgo,75,MX,1600183263,72,19.42,-99.2,62.6,4.7
Lakes Entrance,5,AU,1600183263,95,-37.88,147.98,39.99,4.68
Butka,100,RU,1600183263,95,56.72,63.79,50.97,8.43
Prince Albert,90,CA,1600183264,81,53.2,-105.77,48.2,2.24
Mananjary,41,MG,1600183264,81,-21.22,48.33,69.62,10.67
Agadez,0,NE,1600183264,8,19.75,10.25,104.5,6.87
Gwadar,58,PK,1600183265,69,25.12,62.33,84.29,7.02
